Unique ID,Name,Title,Company,Description,Tag,TagQID,FacetOf,FacetOfQID,Slides URL,Video URL
,Chris Welty,Shopping Sense: Bringing common sense to worldwide shopping knowledge,Google,"Knowledge Graphs (KGs) continue to penetrate the industrial world after Google's famous ""things not strings"" was used to explain their acquisition of FreeBase ten years ago. While many KGs exist, they are by and large little more than ""entity catalogs"", missing entirely the links between those entities. At Google, we recently launched a new enhancement to search that allows product queries, such as ""Milk"", ""Celery"" or ""12 string guitar"", to return local results - places on maps, nearby, that sell the product. The challenge to making this work is that 70% of stores worldwide - and 40% in the US - do not have a web page, Google's primary data source for search. To overcome this challenge and extend our understanding of small to medium-sized brick&mortar shops, we used a unique combination of Knowledge Graphs, AI and Human Common Sense, that demonstrates both the promises and limitations of AI in solving practical business problems.","Entity Catalogs, Brick & Mortar Shops, AI, Shopping Knowledge, Local Results, Queries, ",,,,Shopping Sense: Bringing common sense to worldwide shopping knowledge | Zenodo,Chris Welty | Shopping Sense: Bringing Common Sense To Worldwide Shopping - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Christos Boutsidis,,Goldman Sachs,,,,,,No  presentation slides,No video
,Chu Nnodu,Paths to More Personal and Collaborative Knowledge Graphs,,,,,,,No  presentation slides,Paths to More Personal and Collaborative Knowledge Graphs - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Conor White-Sullivan,Paths to More Personal and Collaborative Knowledge Graphs,,,,,,,No  presentation slides,Paths to More Personal and Collaborative Knowledge Graphs - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Cory Henson,Workshop on Knowledge-infused Learning,,,,,,,,
,Dan McCreary,How Graphs Improve Systems Thinking,Optum and Intel,Graphs are characterized by their ability to model relationships between entities. Graph models allow for relationship traversals up to 3-5 orders of magnitude faster than traditional relational models. This performance advantage allows graphs to include more data and different types of data than were possible in the past. Enterprise Knowledge Graph (EKG) architects start asking questions: What other data can we include? What benefits could we gain if we began to think of our organization as a more holistic and integrated system? How do the diverse datasets interact to give us deeper insights into how to optimize our operations? This workshop will introduce the fundamental concepts around EKGs and Systems Thinking and how they fit together. We then will walk the group through a series of short exercises to demonstrate how the two concepts are related with examples.,"General Purpose, CPU Hardware, Graph Analytics, Graph Traversal, Machine Learning, Sparse Matrix Processing, Metaphors, Storytelling",,,,No presentation slides,How Graphs Improve Systems Thinking - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Dan McCreary,Graph Hardware Is Coming!,,,,,,,https://zenodo.org/record/4903172#.YPXfTT2SlhE,Dan McCreary | Graph Hardware Is Coming! - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Daniel Vila Suero,Graph-Based Data Science,,,,,,,Graph-Based Data Science: 'kglab' open source integration of graph libraries with popular data science tooling | Zenodo,Graph-Based Data Science - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Davar Ardalan,Knowledge Graphs for Social Good,,,,,,,No presentation slides,Knowledge Graphs for Social Good - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,David Leake,Workshop on Knowledge-infused Learning,,,,,,,No presentation slides,Workshop | Knowledge Infused Learning - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Deborah McGuinness,Second Workshop on Personal Health Knowledge Graphs,,"Electronic health records (EHRs) have become a popular source of observational health data for learning insights that could inform the treatment of acute medical conditions. However, their utility for learning insights for informing preventive care and management of chronic conditions has remained limited. For this reason, the addition of social determinants of health (SDoH) [1] and “observations of daily living” (ODL) [2] to the EHR have been proposed. This combination of medical, social, behavioral, and lifestyle information about the patient is essential for allowing medical events to be understood in the context of one’s life and, conversely, allowing lifestyle choices to be considered jointly with one’s medical context. We propose that the personal health knowledge graph is a semantic representation of a patient’s combined medical records, SDoH, and ODLs that would be generated by both patients and their providers and be potentially useful to both for decision-making. While there are some initial efforts to clarify what personal knowledge graphs are [3] and how they may be made specific to health [4, 5], there is still much to be determined concerning how to operationalize and apply such a knowledge graph in life and clinical practice. There are challenges in collecting, managing, integrating, and analyzing the data required to populate the knowledge graph, maintaining, reasoning over, and sharing aspects of the knowledge graph. Following on the success of our inaugural workshop held at the Knowledge Graph Conference in 2020, in the second installment of this workshop, we aim to gather multiple stakeholders (health practitioners, health informaticists, knowledge engineers, and computer scientists) working on defining, building, consuming, and integrating personal health knowledge graphs. The workshop will focus on the challenges and opportunities in this nascent space with a strong focus on existing PHKG solutions.","Electronic Health Records, Social Determinants of Health, Observations of Daily Living, Personal Health Knowledge Graph, Data Integration, Data Profiling, Data Curation, Querying, Knowledge Discovery, Ontology Mapping, Machine Learning",,,,No presentation slides,Workshop Summary | The Personal Health Knowledge Graph - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Denise Gosnell,AMA Speaker,DataStax,,,,,,No presentation slides,No Video
,Dennis Wisnosky,Enterprise Knowledge Graph Workshop,,"The Enterprise Knowledge Graph Foundation was established to define best practices and mature the marketplace for Enterprise Knowledge Graph (EKG) adoption. We are a member-supported non-profit (501c6) trade association established as a coordination body for the international enterprise knowledge graph community. EKGF members contribute open-source thoughts, ideas and working code. These contributions support areas ranging from the EKGF infrastructure itself, for delivering EKGF products and services, to original EKG principles intended to provide guidelines for the development and deployment of an enterprise knowledge graph, and an EKG Maturity Model which establishes standard criteria for measuring progress and sets out the practical questions that all involved stakeholders ask to ensure trust, confidence, and usage flexibility of data.","Enterprise Knowledge Graph, Enterprise Knowledge Graph Foundation, Maturity Model, EKGF Principles",,,,No presentation slides,Enterprise Knowledge Graph Workshop - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Diego Calvanese,Integrating Data Through Virtual Knowledge Graphs with Ontop,,"Recently, knowledge graphs have been successfully deployed to overcome the typical difficulties in accessing and integrating data stored in different kinds of sources. In particular, in the Virtual Knowledge Graph (VKG) approach, data is presented in the form of a graph, which is mapped to the underlying data sources, and query answering is based on advanced query transformation techniques. In this tutorial we illustrate the principles underlying the VKG approach, providing an overview of well-established algorithms and techniques, and we discuss relevant use-cases using VKGs. We also provide a step-by-step hands-on session, where participants can experiment on their own with the discussed technologies using the open-source VKG system Ontop and other open-source tools.",,,,,No presentation slides,Integrating Data through Virtual Knowledge Graphs with Ontop - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Dmytro Dolgopolov,Entity Disambiguation with Knowledge Graph,Financial Industry Regulatory Authority,"During the presentation, we will share our experience in building a knowledge graph leveraging Spark, NLP, and Machine Learning. We will start with explaining the business problems and challenges then walk through our data pipeline, including text analytics processes, name similarity solutions, street address normalization, clustering algorithms, confidence level building, etc. To finish, we will discuss the business impact and the takeaways.","Build KG, Spark, NLP, ML, Buisness Challenges, Data Pipeline, Text Analytics, Name Similarity, Address Nomalization, Clustering, Confidence Level ",,,,Entity Disambiguation with Knowledge Graph | Zenodo,Chen Zhang & Dmytro Dolgopolov | Entity Disambiguation With Knowledge Graph - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Duane Forrester,Your Future in Search is Built on Knowledge Graphs,Yext,"The future of search is already known, and it's built on Knowledge Graphs. From a business' POV, we'll explore the focus of search engines today, why KGs are so integral and examine the benefits of building your own site around a knowledge graph. From increases in customer retention, conversion and satisfaction, we'll see how this approach works. If you want to improve your user experience, there's an impact. If you want to decrease support costs and build consumer confidence - and impact reviews - we'll see how a KG-based approach works. There is a lot of work to do, but in today's world of search, the systems are complex and deep...and simple models of managing websites, content and search from years passed simply won't keep up.","KG Search, Business POV, Customer Retention, Support Costs, Website Management",,,,No presentation slides,Duane Forrester | Your Future in Search is Built on Knowledge Graphs - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Eelke van der Horst,Building an Immuno-Oncology & Cell Therapy Knowledge Graph,The Hyve,"Bristol-Myers Squibb (BMS) is a global pharmaceutical company with drug discovery and development programs in several therapeutic areas. As part of its enterprise information governance, there is an ongoing effort to unlock research data from siloed systems, by building a knowledge graph that transcends research domains and departments. The Hyve, a Dutch IT services provider for the biomedical domain, assists in this effort by creating semantic models of particular areas, such as computational genomics or clinical trials. In this case-study, we will share our experience modelling research data in Immuno-Oncology & Cell Therapy (IOCT). Here, traceability of research data through the development pipeline poses a particular problem because most data is currently stored in particular vendor solutions and departments. We will first introduce the semantic model that was created to model the IOCT research domain and data, and how it builds on public domain ontologies and existing BMS ontologies. We will then present our efforts to build a knowledge graph by instantiating this model using a selected set of research data. We will evaluate the strategies and tools we explored to unlock as much of the data as possible, and the end-to-end use cases that can now be answered using the knowledge graph.","Immuno-Onocology, Cell Therapy, (IOCT), KG, Drug Discovery, The Hyve, Genomics, ",,,,Building an Immuno-Oncology & Cell Therapy Knowledge Graph | Zenodo,Eelke van der Horst | Building an Immuno-Oncology & Cell Therapy Knowledge Graph - KGC | The Complete Collection - Knowledge Graph Conference (vhx.tv)
,Elena Romanova,Entity Disambiguation with Knowledge Graph,Financial Industry Regulatory Authority,,,,,,,
,Ellie Young,Modeling Sustainability,Knowledge Graph Conference,"Climate change poses an existential threat to life. The decade unfolding now is a critical period for transforming our “business as usual” routines into new practices that reduce global carbon emissions below thresholds sufficient to avert irreversible planetary damage. This workshop, hosted by Common Action – a community collaboration platform for climate action – explores how to model pathways for action. In other words, let's demonstrate how knowledge graphs are being used to spotlight where individuals and groups can contribute directly. For this initial workshop we will prioritize modeling a “backbone” of the knowledge graph for Common Action. This component is intended to track key people and their projects, and also link to related KG projects which provide complementary graph data.
In the first session of this workshop, a series of SMEs and data modelers will share 5-10 minute lightning presentations, providing glimpses into sectors across climate action. The goal of these presentations will be to share a high-level overview of the concepts and problems in the space, in order to make apparent synergies for collective modeling, and ultimately, collaborative action. ","Climate Change, Climate Action, Carbon Emissions, Common Action,  Semantic Graph",,,,No slides,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/may-3rd-t1-modeling-sustainability-b5f2388d-e464-4c5d-b143-a9eab13875cb
,Felix Loesch,,Bei Bosch,No speaker description or presentation,,,,,No slides,No video
,Filip Ilievski,Workshop on Knowledge-infused Learning,,,,,,,No slides,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/may-3rd-t4-workshop-on-knowledge-infused-learning-69785c98-2b1f-4668-9644-79c7d3ea1deb
,Francois Scharffe,Building Data Products using a No-code Knowledge Graph Platform,The Knowledge Graph Conference ,"The switch to decentralization in data management is finally happening as organizations struggle with a disconnect between data teams and domain knowledge. Once a new organizational structure around data domains is in place, the need for platforms for managing data products appears. In this talk, we argue that knowledge technologies are best placed to be the technical layer for data products. Ontologies provide the flexibility and expressiveness to represent the complexities of domains. Knowledge graphs provide graph representation, query languages, and standard access APIs that are perfectly suited for cross-organizational data access. Last but not least knowledge graphs, being all about data integration, provide an efficient way to connect data inside and across domains through entity linking and shared vocabularies. This talk will be followed by a short Demo of the Knowledge graph no-code platform, KgBase, by Justin Zhen",,,,,No slides,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/justin-zhen-francois-scharffe-the-knowledge-graph-conference
,Freddy Lecue,On the role of knowledge graphs in explainable machine learning,Inria / Thales,"Machine Learning (ML), as one of the key drivers of Artificial Intelligence, has demonstrated disruptive results in numerous industries. However, one of the most fundamental problems of applying ML, and particularly Artificial Neural Network models, in critical systems is its inability to provide a rationale for their decisions. For instance, a ML system recognizes an object to be a warfare mine through comparison with its similar observations. No human-transposable rationale is given, mainly because common sense knowledge or reasoning is out-of-scope of ML systems. We present how knowledge graphs could be applied to expose more human-understandable machine learning decisions, and present an asset, combining ML and knowledge graphs to expose a human-like explanation when recognizing an object of any class in a knowledge graph of 4,233,000 resources.","Machine Learning (ML), Artifical Neural Networks, Human Like Explanation, Common Sense, Resoning, ",,,,https://zenodo.org/record/4903180#.YOh_DOhKjIU,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/freddy-lecue-on-the-role-of-knowledge-graphs-in-explainable-machine-learning
,Gaurav Jaglan,Graph-Based Data Science,,"Python has excellent libraries for working with graphs which provide: semantic technologies, graph queries, interactive visualizations, graph algorithms, probabilistic graph inference, as well as embedding and other integrations with deep learning. However, almost none of these have integration paths other than writing lots of custom code, and most do not share common file formats. Moreover, few of these libraries integrate effectively with popular data science tools (e.g., pandas, scikit-learn, PyTorch, spaCy, etc.) or with popular infrastructure for scale-out (Apache Spark, Ray, RAPIDS, Apache Parquet, fsspec, etc.) on cloud computing. This tutorial introduces kglab – an open source project that integrates RDFlib, OWL-RL, pySHACL, NetworkX, iGraph, pslpython, node2vec, PyVis, and more – to show how to use a wide range of graph-based approaches, blending smoothly into data science workflows, and working efficiently with popular data engineering practices. The material emphasizes hands-on coding examples which you can reuse; best practices for integrating and leveraging other useful libraries; history and bibliography (e.g., links to primary sources); accessible, detailed API documentation; a detailed glossary of terminology; plus links to many helpful resources, such as online “playgrounds”. Meanwhile, keep a practical focus on use cases",,,,,https://zenodo.org/record/4903254#.YOh-qOhKjIU,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/may-4th-t3-graph-based-data-science-2648dc1e-79b7-4f8e-bc2a-488fcdf68c30
,Guohui Xiao,Integrating Data Through Virtual Knowledge Graphs with Ontop,,"Recently, knowledge graphs have been successfully deployed to overcome the typical difficulties in accessing and integrating data stored in different kinds of sources. In particular, in the Virtual Knowledge Graph (VKG) approach, data is presented in the form of a graph, which is mapped to the underlying data sources, and query answering is based on advanced query transformation techniques. In this tutorial we illustrate the principles underlying the VKG approach, providing an overview of well-established algorithms and techniques, and we discuss relevant use-cases using VKGs. We also provide a step-by-step hands-on session, where participants can experiment on their own with the discussed technologies using the open-source VKG system Ontop and other open-source tools.",,,,,No slides,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/may-3rd-t3-integrating-data-through-virtual-knowledge-graphs-with-ontop-bb71a1dc-c38d-4729-baa0-03917fdd0d99
,Heather Hedden,Foundation for a Knowledge Graph: Taxonomy Design Best Practices,,"Ontologies form the semantic framework for knowledge graphs, but to serve the purpose of linking data, ontologies need to be based on taxonomies or other controlled vocabularies, whose concepts are linked to data and tagged to content. There has also been a trend of greater integration of taxonomies and ontologies: ontologies are being adopted for wider business use, and taxonomies have been included in the W3C standards with widespread adoption of SKOS (Simple Knowledge Organization System).",,,,,No slides,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/may-3rd-t4-foundation-for-a-knowledge-graph-taxonomy-design-best-practices-956e0447-6a0e-420c-9a66-c716048ec763
,Honghan Wu,Second Workshop on Personal Health Knowledge Graphs,,,,,,,No slides,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/may-4th-t1-second-workshop-on-personal-health-knowledge-graphs-afd5e1f9-1dbf-4bd3-9066-641700796f70
,Ivo Velitchkov,Paths to More Personal and Collaborative Knowledge Graphs,,"While taxonomies are easier to design and create than ontologies, too often they are created without any skill or training, and poorly designed taxonomies yield poor results. This tutorial will cover the basics and best practices in taxonomy design, including: types of controlled vocabularies, standards, sources for topical concepts, wording of labels, alternative labels, hierarchical and associative relationships, and governance. This tutorial also explains the approach of semantically enriching an existing taxonomy to become an ontology by adding a semantic layer of an ontology or custom scheme.",,,,,No slides,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/may-4th-t4-paths-to-more-personal-and-collaborative-knowledge-graphs-562bc250-ab6a-43f2-96fe-3ed13a0c22fd
,Jacobus Geluk,Enterprise Knowledge Graph Workshop,,,,,,,No slides,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/may-3rd-t3-enterprise-knowledge-graph-workshop-d24d9c5c-fb98-40c7-a37e-2693431ecc2f
,Jamie McCusker,Annotating Tabular Data Using Semantic Data Dictionaries,,"It is common practice for data providers to include text descriptions for each column when publishing data sets in the form of data dictionaries. While these documents are useful in helping an end-user properly interpret the meaning of a column in a data set, existing data dictionaries typically are not machine-readable and do not follow a common specification standard. We introduce the Semantic Data Dictionary, a specification that formalizes the assignment of a semantic representation of data, enabling standardization and harmonization across diverse data sets. The rendition of data in this form helps promote improved discovery, interoperability, reuse, traceability, and reproducibility. We present the associated research and describe how the Semantic Data Dictionary can help address existing limitations in the related literature. We discuss our approach, present an example by annotating portions of the publicly available National Health and Nutrition Examination Survey data set, present modeling challenges, and describe the use of this approach in sponsored research, including our work on a large National Institutes of Health (NIH)-funded exposure and health data portal and in the RPI-IBM collaborative Health Empowerment by Analytics, Learning, and Semantics project. This work has been evaluated in comparison with traditional data dictionaries, mapping languages, and data integration tools.",,,,,No slides,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/may-4th-t1-annotating-tabular-data-using-semantic-data-dictionaries-7bc69738-8433-444f-943a-e53ad8ce5eb2
,Jan Hidders,A Report from the Property Graph Schema Working Group,University of Londion,"The Property Graph Schema Working Group (PGSWG) is an informal working group that was set up in 2018 under the umbrella of LDBC, the Linked Data Benchmark Council, to support the formal working group that works on the SQL/PGQ and GQL, the upcoming ISO/IEC standards for managing property graphs. The PGSWG overlaps partially with the formal working group and consists of around 60 members from academia as well as industry. The academic members come from different research domains, including data storage, data management, query languages, query optimization, programming languages, data modeling and Semantic Web. The industrial partners come from companies such as TigerGraph, Neo4j, Amazon, FactGem, Google, Redis, Ant Group, Memgraph and Uber. The goal of PGSWG is to discuss the Property Graph data model and the schema language that will describe instances of this data model, both in the context of the SQL extension and outside of it. Discussions in the group cover topics such as the basic Property Graph data model, property types, subtyping, null values, key constraints and cardinality constraints. In this presentation we will give a brief overview of the history of this working group, the current status of its discussions and where they might be going in the near future.","Property Graph Schema Working Group (PGSWG), Linked Data Bench Council (LDBC), ISO/IEC,SQL/PGQ,GQL, Industrial Partners, TigerGraph, Neo4j, Amazon, FactGem, Google, Redis, Ant Group, Memgraph and Uber, History",,,,https://zenodo.org/record/4903184#.YOh7x-hKjIU,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/jan-hidders-a-report-from-the-property-graph-schema-working-group
,Jans Aasman,,Franz Inc,No presentation?,,,,,No slides,No video
,Jay Yu,Elevating Data to Knowledge: Practical Approach to Weave Knowledge Graph Technology in Enterprise Data Architecture,Intuit,"Intuit is embarking on a multi-year journey to transform from a financial product-centric company into an ""AI-driven Expert Platform"" company. We have aligned our enterprise data architecture and strategy to the company growth strategy, with a clean end-to-end enterprise architecture that embraces data-centric principles with an ambitious goal to elevating data to knowledge. In this talk, I will describe the burning platform of the data challenge, the e2e clean data architecture solution to overcome the challenge, and our incremental approach to apply knowledge graph technology in many aspects of the architecture. I will also share progress made and key lessons learned from the journey.","Financial Product, AI, Expert Platform, Data Architecture, Data Centric, e2e, ",,,,https://zenodo.org/record/4903186#.YOh68uhKjIU,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/jay-yu-weave-knowledge-graph-tech-in-enterprise-data-architecture
,Jeannine Wisnosky Stehlin,Enterprise Knowledge Graph Workshop,,,,,,,No slides,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/may-3rd-t3-enterprise-knowledge-graph-workshop-d24d9c5c-fb98-40c7-a37e-2693431ecc2f
,Joerg Werner,,Merck Healthcare,No link to speaker or presentation,,,,,No slides,No video
,Joey Yip,Workshop on Knowledge-infused Learning,,,,,,,No slides,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/may-3rd-t4-workshop-on-knowledge-infused-learning-69785c98-2b1f-4668-9644-79c7d3ea1deb
,Johannes Keizer,VocBench - a semantic web collaborative development platform for ontologies - thesauri and lexicons,Lore Star srl,"This presentation will feature and demonstrate ""VocBench"", an semantic web collaborative development platform for ontologies, thesauri and lexicons. VocBench has initially been developed for maintenance of the thesaurus ""Agrovoc"". It has become then a generic tool for thesaurus management and now features dedicated support for editing OWL ontologies, SKOS(/XL) thesauri, Ontolex-lemon lexicons, EDOAL linksets and generic RDF datasets. Advanced editing capabilities, high scalability (the platform integrates with high performant triple stores such as RDF4J and GraphDB) and editing and publication workflow management all contribute to a full-fledged collaborative online environment. The tool is opensource, but professional resources are available to offer services or develop necessary extensions.","Semantic Web, Collaborative Development, Ontologies, Thesauri, Lexicons, Agrovoc, OWL, SKOS(/XL), Advanced Editiing, Scalability, Workflow Management, Opensource",,,,https://zenodo.org/record/4903188#.YOh50ehKjIU,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/johannes-keizer-vocbench-a-semantic-web-collab-dev-platform-for-ontologies
,Jonas Almeida,Data Commons in the wild - it's an API world out there,NIH/NCI/Division of Cancer Epidemiology and Genetics (DCEG),"The increasing reliance on distributed epidemiological data sources for time-sensitive analysis defines an emergent computational commons space: API ecosystems supporting epidemiology data commons. This space has been forced to evolve significantly to meet the real-time requirements of COVID-19 information systems, to the extent that syntactic interoperability often takes precedence over aligning data structures with conceptual context. This presentation will explore how the engineering of API ecosystems responds to governance and scope, before it responds to the analytical frameworks that triggered their development, as illustrated with hands-on visits to a number of live data sources. It will be argued that both knowledge representation and statistical learning (AI) benefit from being an afterthought of this evolutionary process.","Epidemiological Data, Time-sensitive Analysis, API Ecosystems, Covid-19, Governance, Knowledge Representation, Statistical Learning",,,,https://zenodo.org/record/4903190#.YOh5lehKjIU,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/jonasalmeida
,Joshua Shinavier,Anything-to-Graph,Uber Inc.,,,,,,https://zenodo.org/record/4903194#.YOh5buhKjIU,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/joshua-shinavier-anything-to-graph
,Juan Sequeda,History of Knowledge Graph's Main Ideas,data.world,"Knowledge Graphs can be considered as fulfilling an early vision in Computer Science of creating intelligent systems that integrate knowledge and data at large scale. Stemming from scientific advancements in research areas of Semantic Web, Databases, Knowledge representation, NLP, Machine Learning, among others, Knowledge Graphs have rapidly gained popularity in academia and industry in the past years. The integration of such disparate disciplines and techniques gives richness to Knowledge Graphs but also presents the challenge to practitioners and theoreticians to know how current advances develop from early techniques in order, on one hand, take full advantage of them, and on the other, avoid reinventing the wheel. This talk will provide a quick historical context on the roots of Knowledge Graphs grounded in the advancements of Logic, Data, and the combination thereof.","KG, History, Academia, Industry",,,,https://zenodo.org/record/4903196#.YOh5RehKjIU,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/juan-sequeda-history-of-knowledge-graphs-main-ideas
,Julian Gruemmer,What can we learn from knowledge graphs? A Wirecard perspective,Friedrich-Alexander-University Erlangen-Nuremberg,"The Wirecard scandal was one of the most shocking economic events in Germany in 2020. The former DAX30 company collapsed on June 25, owing creditors more than €3.5 billion (almost $4 billion) after disclosing a gaping hole in its books that its auditor EY said was the result of a sophisticated global fraud. But were there any signs that something went wrong? In our study, we gathered all relevant information from management and supervisory board members from the 30 largest companies (DAX30) in Germany for the fiscal year 2019. Relevant information includes place of birth, date of birth, education and work experience. Our knowledge graph contains 745 people, 1.203 companies and organizations, 5.116 roles and 1.128 degrees or educational programs. All this information helps us to understand what was different at Wirecard and what may be the reasons why Wirecard failed. Using a knowledge graph enables us to automatically detect and visualize all kinds of ties between supervisory and management board members, whereas detecting them manually requires more effort and is more error prone. The collection of the data reveals that there was little to no information available for most of the supervisory and management board members of Wirecard, which is uncommon for a DAX30 firm. In addition to that, it is obvious that the management board has far less work experience than managers from comparable companies. When looking at the experience of Wirecard’s supervisory board members, it becomes clear they were little or not all familiar with board activities. Furthermore, our graph shows that supervisory board members from Wirecard are less connected to other members of supervisory boards compared to other DAX30 companies.","Wirecard, Creditors, Global Fraud, ",,,,https://zenodo.org/record/4903202#.YOh5FuhKjIU,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/julian-grummer-what-can-we-learn-from-knowledge-graphs-a-wirecard-perspective
,,Modeling Sustainability,,,,,,,,
,Justin Zhen,Building Data Products using a No-code Knowledge Graph Platform  ,Kgbase,"The switch to decentralization in data management is finally happening as organizations struggle with a disconnect between data teams and domain knowledge. Once a new organizational structure around data domains is in place, the need for platforms for managing data products appears. In this talk, we argue that knowledge technologies are best placed to be the technical layer for data products. Ontologies provide the flexibility and expressiveness to represent the complexities of domains. Knowledge graphs provide graph representation, query languages, and standard access APIs that are perfectly suited for cross-organizational data access. Last but not least knowledge graphs, being all about data integration, provide an efficient way to connect data inside and across domains through entity linking and shared vocabularies. This talk will be followed by a short Demo of the Knowledge graph no-code platform, KgBase, by Justin Zhen","Decentralization, KgBase, Cross-Organizational Data Access, API, Data Integration, ",,,,No slides,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/justin-zhen-francois-scharffe-the-knowledge-graph-conference
,Kaushik Roy,Workshop on Knowledge-infused Learning,,,,,,,No slides,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/may-3rd-t4-workshop-on-knowledge-infused-learning-69785c98-2b1f-4668-9644-79c7d3ea1deb
,Kavitha Srinivas,Workshop on Knowledge-infused Learning,,,,,,,No slides,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/may-3rd-t4-workshop-on-knowledge-infused-learning-69785c98-2b1f-4668-9644-79c7d3ea1deb
,Keith Corbett,Modeling Sustainability,,,,,,,No slides,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/may-3rd-t1-modeling-sustainability-b5f2388d-e464-4c5d-b143-a9eab13875cb
,Keshav Pingalli,High-Performance Knowledge Graph Computing on the Katana Graph Engine,Katana Graph,,,,,,No slides,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/keshav-pingalli-high-performance-knowledge-graph-computing-on-katana
,Konstantin Todorov,Browsing the Web of Claims: ClaimsKG and its applications and perspectives,"University of Montpellier, LIRMM, CNRS","How do falsehoods spread on the web? This and other questions related to the propagation of fake news and biased discourse in the public area have been drawing increasing interest in different communities from social sciences to artificial intelligence. Online discourse, i.e. claims and opinions shared online, together with their associated contexts (authors, salient entities, related events) constitute a valuable source of insights to these questions. While knowledge graphs of today enable data reuse and federation, improving information retrieval on the web and facilitating knowledge discovery in various fields, they do not store information about claims and related online discourse data, making it difficult to access, query and reuse this wealth of information. Hence, we have built ClaimsKG — a knowledge graph of fact-checked claims and their related metadata, such as the claims’ truth labels, authors, topics, keywords and references. The knowledge graph is built by extracting information from a number of popular fact-checking web portals and structuring it following a specifically developed for this purpose conceptual data model mainly based on schema.org and the NIF vocabularies. Among other applications, ClaimsKG provides ground truth data for a number of tasks relevant to the analysis of societal debates on the web. In this talk, I will first present three tools that operate on the data of ClaimsKG: (1) the Claims Explorer, which allows us to navigate through our data and perform a faceted search; (2) the Claims Statistical Observatory, which helps uncover trends; and (3) the ClaimLinker, which allows linking arbitrary text to claims from ClaimsKG (or any other Knowledge graph containing claims), hence assisting the task of fact verification. I will further discuss perspectives on modeling claims in a generalized and contextualized manner, as well as related challenges such as claim disambiguation and the assessment of claim relatedness.","Claims KG, Information Retrieval, Knowledge Discovery, Claims Truth Labels, Societal Debates, Claims Explorer, Claims Statistical Observatory, Claims Linker, Fact Verification, Modeling Claims, Disambiguation, Assessment",,,,https://zenodo.org/record/4903206#.YOh2G-hKjIU,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/konstantin-todorov-browsing-the-web-of-claims
,Krzysztof Janowicz,"Know, Know Where, KnowWhereGraph","University of California, Santa Barbara","The KnowWhereGraph project aims at providing a densely interlinked knowledge graph for environmental intelligence applications and situational awareness services (area briefings) that enrich the data of decision-makers and data scientists with pre-integrated data custom-tailored to their spatial area of interest, thereby vastly reducing the time needed to answer questions such as ""What is here?"", ""What happened here before?"", ""Who knows more?"", or ""How does it compare to...."". The project's graph interlinks data about places with various products such as soil maps, climate characteristics, historic events, and so on.","Interlinked KG, Environmental Intelligence, Soil Maps, Climate Characteristics, Historic Events",,,,https://zenodo.org/record/4903209#.YOh15OhKjIU,https://knowledgegraphconference.vhx.tv/packages/kgc-2021/videos/krzysztof-janowicz-know-know-where-knowwheregraph
